Date,Title,Price,Info
2026-05-08,Verified ID,"₦ 48,500,000","5+ YEARS ON JIJI | DIAMOND | ₦ 48,500,000"
2026-05-08,"₦ 48,500,000","₦ 48,500,000",Land Rover Range Rover Vogue 2018 White | Foreign used 2018 Supercharged V8 | Foreign Used
2026-05-08,5+ YEARS ON JIJI,"₦ 35,500,000","₦ 35,500,000 | Mercedes-Benz G-Class Base G 500 AWD 2003 White | Super clean 2003 Vintage G-wagon pick up upgraded to 2022 with complete documents for sale at a good..."
2026-05-08,"₦ 35,500,000","₦ 35,500,000",Mercedes-Benz G-Class Base G 500 AWD 2003 White | Super clean 2003 Vintage G-wagon pick up upgraded to 2022 with complete documents for sale at a good... | Local Used
2026-05-08,5+ YEARS ON JIJI,"₦ 1,450,000,000","ENTERPRISE | ₦ 1,450,000,000 | New Lamborghini Aventador 2025 White"
2026-05-08,"₦ 1,450,000,000","₦ 1,450,000,000",New Lamborghini Aventador 2025 White | Brand New 2025 Lamborghini REVUELTO with 6.5 litre Naturally aspirated V12 engine with 3 electric... | Brand New
2026-05-08,Verified ID,"₦ 165,000,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 165,000,000"
2026-05-08,"₦ 165,000,000","₦ 165,000,000",New Toyota Land Cruiser 2025 Black | Brand New 2025 Toyota Land Cruiser VXR Fullest Option | Brand New
2026-05-08,Verified ID,"₦ 43,000,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 43,000,000"
2026-05-08,"₦ 43,000,000","₦ 43,000,000",Toyota RAV4 XLE 2022 Gray | 2022 Toyota RAV4 XLE super clean in and out Just arrived in April 2026 | Foreign Used
2026-05-08,5+ YEARS ON JIJI,"₦ 175,000,000","ENTERPRISE | ₦ 175,000,000 | New Ferrari 488 GTB 2025 Red"
2026-05-08,"₦ 175,000,000","₦ 175,000,000",New Ferrari 488 GTB 2025 Red | Brand-new 2026 ferrari purosangue 1.750b lekki | Brand New
